participant_id,video_id,start_timestamp,stop_timestamp,start_sample,stop_sample,class,class_id
P01,P01-20240202-110250,00:00:00.476,00:00:02.520,22848,120960,rustle,4
P01,P01-20240202-110250,00:00:03.767,00:00:07.888,180816,378624,footstep,7
P01,P01-20240202-110250,00:00:06.462,00:00:06.682,310176,320736,footstep,7
P01,P01-20240202-110250,00:00:07.765,00:00:08.667,372720,416016,open / close,3
P01,P01-20240202-110250,00:00:09.567,00:00:10.342,459216,496416,ceramic-only collision,14
P01,P01-20240202-110250,00:00:09.899,00:00:10.348,475151,496704,slide object,9
P01,P01-20240202-110250,00:00:13.980,00:00:14.467,671040,694416,metal / marble collision,28
P01,P01-20240202-110250,00:00:14.655,00:00:14.980,703440,719040,ceramic-only collision,14
P01,P01-20240202-110250,00:00:15.217,00:00:18.067,730416,867216,open / close,3
P01,P01-20240202-110250,00:00:16.112,00:00:17.305,773375,830640,plastic-only collision,6
P01,P01-20240202-110250,00:00:18.492,00:00:18.705,887616,897839,click,16
P01,P01-20240202-110250,00:00:19.817,00:00:20.980,951216,1007040,open / close,3
P01,P01-20240202-110250,00:00:20.692,00:00:23.467,993216,1126416,rustle,4
P01,P01-20240202-110250,00:00:23.192,00:00:23.617,1113216,1133616,open / close,3
P01,P01-20240202-110250,00:00:23.855,00:00:26.266,1145040,1260768,stir / mix / whisk,8
P01,P01-20240202-110250,00:00:27.655,00:00:27.967,1327440,1342416,pour,19
P01,P01-20240202-110250,00:00:28.017,00:00:30.692,1344816,1473216,water,5
P01,P01-20240202-110250,00:00:30.642,00:00:31.105,1470816,1493040,plastic-only collision,6
P01,P01-20240202-110250,00:00:31.842,00:00:34.267,1528416,1644816,stir / mix / whisk,8
P01,P01-20240202-110250,00:00:32.315,00:00:32.608,1551120,1565183,plastic-only collision,6
P01,P01-20240202-110250,00:00:32.385,00:00:42.059,1554480,2018831,water,5
P01,P01-20240202-110250,00:00:36.020,00:00:36.693,1728960,1761264,open / close,3
P01,P01-20240202-110250,00:00:37.182,00:00:38.877,1784736,1866096,plastic-only collision,6
P01,P01-20240202-110250,00:00:38.895,00:00:39.365,1866960,1889520,open / close,3
P01,P01-20240202-110250,00:00:42.035,00:01:15.939,2017679,3645071,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:00:47.491,00:00:48.667,2279568,2336016,water,5
P01,P01-20240202-110250,00:00:48.755,00:00:49.192,2340240,2361216,open / close,3
P01,P01-20240202-110250,00:00:48.792,00:00:49.205,2342016,2361840,open / close,3
P01,P01-20240202-110250,00:00:49.355,00:00:49.905,2369040,2395440,plastic-only collision,6
P01,P01-20240202-110250,00:00:50.042,00:00:50.780,2402016,2437440,metal-only collision,0
P01,P01-20240202-110250,00:00:50.805,00:00:53.417,2438640,2564016,rustle,4
P01,P01-20240202-110250,00:00:54.467,00:00:54.767,2614416,2628816,plastic-only collision,6
P01,P01-20240202-110250,00:00:59.817,00:01:00.067,2871216,2883216,click,16
P01,P01-20240202-110250,00:01:01.980,00:01:03.542,2975040,3050016,open / close,3
P01,P01-20240202-110250,00:01:02.053,00:01:02.880,2978544,3018240,metal-only collision,0
P01,P01-20240202-110250,00:01:05.167,00:01:05.780,3128016,3157440,slide object,9
P01,P01-20240202-110250,00:01:06.180,00:01:08.667,3176640,3296016,metal / plastic collision,11
P01,P01-20240202-110250,00:01:10.005,00:01:12.430,3360240,3476640,metal / plastic collision,11
P01,P01-20240202-110250,00:01:13.180,00:01:14.830,3512640,3591840,metal / plastic collision,11
P01,P01-20240202-110250,00:01:15.399,00:01:15.655,3619152,3631440,footstep,7
P01,P01-20240202-110250,00:01:16.280,00:01:18.615,3661440,3773519,open / close,3
P01,P01-20240202-110250,00:01:19.431,00:01:21.675,3812688,3920400,stir / mix / whisk,8
P01,P01-20240202-110250,00:01:20.891,00:01:21.118,3882768,3893663,human,24
P01,P01-20240202-110250,00:01:21.856,00:01:22.743,3929087,3971663,plastic-only collision,6
P01,P01-20240202-110250,00:01:22.401,00:01:23.686,3955248,4016928,human,24
P01,P01-20240202-110250,00:01:22.876,00:01:23.245,3978048,3995760,footstep,7
P01,P01-20240202-110250,00:01:24.493,00:01:24.743,4055663,4067663,plastic-only collision,6
P01,P01-20240202-110250,00:01:25.459,00:01:27.386,4102032,4194528,open / close,3
P01,P01-20240202-110250,00:01:26.558,00:01:28.926,4154784,4268448,rustle,4
P01,P01-20240202-110250,00:01:26.584,00:01:30.255,4156032,4332240,metal / plastic collision,11
P01,P01-20240202-110250,00:01:29.597,00:01:30.163,4300656,4327824,open / close,3
P01,P01-20240202-110250,00:01:30.334,00:01:31.044,4336032,4370112,footstep,7
P01,P01-20240202-110250,00:01:31.097,00:01:31.720,4372656,4402560,open / close,3
P01,P01-20240202-110250,00:01:33.913,00:01:37.493,4507824,4679664,metal / plastic collision,11
P01,P01-20240202-110250,00:01:38.220,00:01:39.072,4714560,4755456,plastic-only collision,6
P01,P01-20240202-110250,00:01:39.731,00:01:39.993,4787088,4799664,click,16
P01,P01-20240202-110250,00:01:40.334,00:01:41.856,4816032,4889088,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:01:43.931,00:02:07.598,4988688,6124704,rustle,4
P01,P01-20240202-110250,00:01:45.606,00:01:45.827,5069088,5079696,plastic-only collision,6
P01,P01-20240202-110250,00:01:57.459,00:01:57.775,5638032,5653200,ceramic-only collision,14
P01,P01-20240202-110250,00:01:57.785,00:01:58.550,5653680,5690400,open / close,3
P01,P01-20240202-110250,00:02:04.535,00:02:05.400,5977680,6019200,plastic-only collision,6
P01,P01-20240202-110250,00:02:07.764,00:02:08.587,6132672,6172175,open / close,3
P01,P01-20240202-110250,00:02:09.181,00:02:10.514,6200688,6264672,open / close,3
P01,P01-20240202-110250,00:02:13.139,00:02:13.827,6390672,6423696,open / close,3
P01,P01-20240202-110250,00:02:14.285,00:02:15.814,6445680,6519072,footstep,7
P01,P01-20240202-110250,00:02:14.819,00:02:16.358,6471311,6545184,footstep,7
P01,P01-20240202-110250,00:02:16.316,00:02:17.868,6543168,6617664,metal / plastic collision,11
P01,P01-20240202-110250,00:02:23.212,00:02:23.937,6874175,6908976,plastic / ceramic collision,26
P01,P01-20240202-110250,00:02:23.650,00:02:24.504,6895200,6936192,rustle,4
P01,P01-20240202-110250,00:02:31.098,00:02:32.941,7252704,7341168,footstep,7
P01,P01-20240202-110250,00:02:33.181,00:02:34.316,7352688,7407168,open / close,3
P01,P01-20240202-110250,00:02:34.046,00:02:34.889,7394208,7434672,footstep,7
P01,P01-20240202-110250,00:02:35.285,00:02:35.504,7453680,7464192,ceramic-only collision,14
P01,P01-20240202-110250,00:02:35.650,00:02:37.514,7471200,7560672,footstep,7
P01,P01-20240202-110250,00:02:37.754,00:02:37.993,7572192,7583664,water,5
P01,P01-20240202-110250,00:02:37.983,00:02:57.885,7583184,8538480,water,5
P01,P01-20240202-110250,00:02:55.690,00:02:56.076,8433120,8451648,ceramic-only collision,14
P01,P01-20240202-110250,00:02:57.079,00:02:58.064,8499792,8547072,footstep,7
P01,P01-20240202-110250,00:02:57.835,00:02:58.647,8536080,8575056,plastic-only collision,6
P01,P01-20240202-110250,00:02:58.921,00:02:59.790,8588208,8629920,ceramic-only collision,14
P01,P01-20240202-110250,00:02:59.840,00:03:03.231,8632320,8795088,water,5
P01,P01-20240202-110250,00:03:03.695,00:03:04.052,8817360,8834496,cut / chop,2
P01,P01-20240202-110250,00:03:05.028,00:03:06.481,8881344,8951088,cut / chop,2
P01,P01-20240202-110250,00:03:07.091,00:03:07.409,8980368,8995632,plastic-only collision,6
P01,P01-20240202-110250,00:03:08.157,00:03:08.476,9031536,9046848,background,13
P01,P01-20240202-110250,00:03:08.635,00:03:22.981,9054480,9743088,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:03:23.282,00:03:23.978,9757536,9790944,plastic-only collision,6
P01,P01-20240202-110250,00:03:23.481,00:03:23.895,9767088,9786960,rustle,4
P01,P01-20240202-110250,00:03:25.752,00:03:39.400,9876096,10531200,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:03:39.275,00:03:40.035,10525200,10561680,plastic-only collision,6
P01,P01-20240202-110250,00:03:39.421,00:03:39.993,10532208,10559664,rustle,4
P01,P01-20240202-110250,00:03:41.660,00:03:41.931,10639680,10652688,cut / chop,2
P01,P01-20240202-110250,00:03:42.650,00:03:44.243,10687200,10763664,cut / chop,2
P01,P01-20240202-110250,00:03:44.620,00:03:45.046,10781760,10802208,plastic-only collision,6
P01,P01-20240202-110250,00:03:45.000,00:03:46.000,10800000,10848000,rustle,4
P01,P01-20240202-110250,00:03:46.098,00:03:58.379,10852704,11442192,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:03:58.755,00:03:59.317,11460240,11487216,plastic-only collision,6
P01,P01-20240202-110250,00:03:58.778,00:03:59.205,11461344,11481840,rustle,4
P01,P01-20240202-110250,00:03:59.437,00:04:00.605,11492976,11549040,footstep,7
P01,P01-20240202-110250,00:04:01.192,00:04:12.880,11577216,12138240,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:04:12.980,00:04:13.430,12143040,12164640,plastic-only collision,6
P01,P01-20240202-110250,00:04:12.980,00:04:13.305,12143040,12158640,rustle,4
P01,P01-20240202-110250,00:04:14.839,00:04:15.455,12232272,12261840,plastic-only collision,6
P01,P01-20240202-110250,00:04:16.242,00:04:18.592,12299616,12412416,cut / chop,2
P01,P01-20240202-110250,00:04:18.629,00:04:19.050,12414192,12434400,plastic-only collision,6
P01,P01-20240202-110250,00:04:20.044,00:04:21.246,12482112,12539808,footstep,7
P01,P01-20240202-110250,00:04:21.925,00:04:34.981,12572400,13199088,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:04:34.949,00:04:35.187,13197552,13208976,plastic-only collision,6
P01,P01-20240202-110250,00:04:36.709,00:04:39.606,13282032,13421088,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:04:40.570,00:04:40.868,13467360,13481664,rustle,4
P01,P01-20240202-110250,00:04:40.618,00:04:41.072,13469664,13491456,plastic-only collision,6
P01,P01-20240202-110250,00:04:42.902,00:04:54.663,13579296,14143824,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:04:56.758,00:05:01.231,14244384,14459088,kettle / mixer / appliance,33
P01,P01-20240202-110250,00:05:01.061,00:05:01.993,14450927,14495664,footstep,7
P01,P01-20240202-110250,00:05:02.132,00:05:02.687,14502336,14528976,plastic-only collision,6
P01,P01-20240202-110250,00:05:02.197,00:05:02.527,14505456,14521296,rustle,4
P01,P01-20240202-110250,00:05:02.925,00:05:03.152,14540400,14551296,open / close,3
P01,P01-20240202-110250,00:05:03.664,00:05:15.300,14575872,15134400,stir / mix / whisk,8
P01,P01-20240202-110250,00:05:15.624,00:05:15.961,15149952,15166128,plastic-only collision,6
P01,P01-20240202-110250,00:05:17.580,00:05:17.939,15243840,15261072,plastic-only collision,6
P01,P01-20240202-110250,00:05:18.374,00:05:19.765,15281952,15348720,footstep,7
P01,P01-20240202-110250,00:05:20.167,00:05:20.439,15368015,15381072,water,5
P01,P01-20240202-110250,00:05:20.406,00:05:33.683,15379488,16016784,water,5
P01,P01-20240202-110250,00:05:27.086,00:05:27.537,15700128,15721775,metal / plastic collision,11
P01,P01-20240202-110250,00:05:29.591,00:05:29.928,15820368,15836544,plastic-only collision,6
P01,P01-20240202-110250,00:05:31.580,00:05:32.913,15915840,15979824,plastic-only collision,6
P01,P01-20240202-110250,00:05:33.885,00:05:36.647,16026480,16159056,plastic-only collision,6
P01,P01-20240202-110250,00:05:37.135,00:05:37.576,16182480,16203648,plastic-only collision,6
P01,P01-20240202-110250,00:05:38.326,00:05:59.346,16239648,17248608,water,5
P01,P01-20240202-110250,00:05:46.906,00:05:47.395,16651488,16674960,plastic-only collision,6
P01,P01-20240202-110250,00:05:48.604,00:05:50.058,16732992,16802784,footstep,7
P01,P01-20240202-110250,00:05:51.790,00:05:52.456,16885920,16917888,metal / plastic collision,11
P01,P01-20240202-110250,00:05:53.656,00:05:53.939,16975488,16989072,ceramic-only collision,14
P01,P01-20240202-110250,00:05:58.071,00:05:59.134,17187408,17238432,metal / plastic collision,11
P01,P01-20240202-110250,00:06:00.341,00:06:00.548,17296368,17306304,plastic-only collision,6
P01,P01-20240202-110250,00:06:01.417,00:06:05.754,17348016,17556192,water,5
P01,P01-20240202-110250,00:06:05.689,00:06:05.982,17553072,17567136,metal / plastic collision,11
P01,P01-20240202-110250,00:06:06.102,00:06:07.484,17572896,17639232,footstep,7
P01,P01-20240202-110250,00:06:08.678,00:06:09.058,17696544,17714784,footstep,7
P01,P01-20240202-110250,00:06:08.823,00:06:10.190,17703504,17769120,footstep,7
